Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
21.4	1	1	290.362	459.862	1
21.4333	1	1	291.248	460.011	1
21.4667	1	1	292.246	460.106	0
21.5	1	1	293.813	460.294	1
21.5333	1	1	295.56	460.59	1
21.5667	1	1	296.882	460.865	1
21.6	1	1	298.003	461.005	1
21.6333	1	1	299.004	461.004	1
21.6667	1	1	300.261	461.035	1
21.7	1	1	301.78	461.153	1
21.7333	1	1	303.17	461.286	1
21.7667	1	1	304.234	461.345	1
21.8	1	1	305.426	461.516	1
21.8333	1	1	306.783	461.816	1
21.8667	1	1	308.007	462.006	1
21.9	1	1	309.138	462.006	1
21.9333	1	1	310.49	461.998	1
21.9667	1	1	311.865	462	1
22	1	1	313.14	462	1
22.0333	1	1	314.496	462	1
22.0667	1	1	315.864	462	1
22.1	1	1	317.068	461.827	1
22.1333	1	1	318.164	461.525	1
22.1667	1	1	319.223	461.336	1
22.2	1	1	320.297	461.246	1
22.2333	1	1	321.422	461.097	1
22.2667	1	1	322.634	460.996	1
22.3	1	1	323.995	460.996	1
22.3333	1	1	325.438	460.911	1
22.3667	1	1	326.643	460.61	1
22.4	1	1	327.594	460.231	1
22.4333	1	1	328.637	459.987	1
22.4667	1	1	329.727	459.669	1
22.5	1	1	330.775	459.239	1
22.5333	1	1	331.992	458.729	1
22.5667	1	1	333.097	458.27	1
22.6	1	1	334.051	457.862	1
22.6333	1	1	335.085	457.498	1
22.6667	1	1	336.196	457.047	1
22.7	1	1	337.11	456.571	1
22.7333	1	1	338.115	456.087	1
22.7667	1	1	339.103	455.609	1
22.8	1	1	339.936	455.209	1
22.8333	1	1	340.782	454.755	1
22.8667	1	1	341.598	454.304	1
22.9	1	1	342.278	453.768	1
22.9333	1	1	342.603	453.271	1
22.9667	1	1	342.513	452.992	1
23	1	1	342.145	452.991	1
23.0333	1	1	341.988	453.003	1
23.0667	1	1	341.997	453	1
23.1	1	1	342.001	453	1
23.1333	1	1	341.869	453.131	1
23.1667	1	1	341.566	453.402	1
23.2	1	1	341.423	453.633	1
23.2333	1	1	341.485	453.882	1
23.2667	1	1	341.324	454.388	1
23.3	1	1	340.92	454.939	1
23.3333	1	1	340.45	455.464	1
23.3667	1	1	339.942	456.159	1
23.4	1	1	339.359	456.927	1
23.4333	1	1	338.932	457.57	1
23.4667	1	1	338.675	457.978	1
23.5	1	1	338.759	458.206	1
23.5333	1	1	338.992	458.496	1
23.5667	1	1	339.147	458.862	1
23.6	1	1	339.163	459.226	1
23.6333	1	1	339.215	459.734	1
23.6667	1	1	339.24	460.204	1
23.7	1	1	339.296	460.527	1
23.7333	1	1	339.553	460.82	1
23.7667	1	1	339.863	461.005	1
23.8	1	1	340.269	461.007	1
23.8333	1	1	340.664	461.057	1
23.8667	1	1	341.025	461.21	1
23.9	1	1	341.161	461.382	1
23.9333	1	1	340.947	461.684	1
23.9667	1	1	340.355	462.085	1
24	1	1	339.834	462.507	1
24.0333	1	1	339.378	462.914	1
24.0667	1	1	338.769	463.555	1
24.1	1	1	338.077	464.318	1
24.1333	1	1	337.437	464.963	1
24.1667	1	1	336.765	465.565	1
24.2	1	1	336.02	466.389	1
24.2333	1	1	335.225	467.21	1
24.2667	1	1	334.331	467.921	1
24.3	1	1	333.344	468.771	1
24.3333	1	1	332.411	469.729	1
24.3667	1	1	331.463	470.7	1
24.4	1	1	330.544	471.714	1
24.4333	1	1	329.68	472.866	1
24.4667	1	1	328.799	474.077	1
24.5	1	1	327.849	475.196	1
